2, 3940, Note_on_c, 0, 52, 90
2, 4080, Note_on_c, 0, 52, 0
2, 4080, Note_on_c, 0, 50, 90
2, 4115, Note_on_c, 0, 59, 0
2, 4120, Note_on_c, 0, 55, 0
2, 4230, Note_on_c, 0, 55, 90
2, 4235, Note_on_c, 0, 64, 90
2, 4235, Note_on_c, 0, 48, 90
2, 4240, Note_on_c, 0, 50, 0
2, 4380, Note_on_c, 0, 45, 90
2, 4390, Note_on_c, 0, 48, 0
2, 4520, Note_on_c, 0, 45, 0
2, 4520, Note_on_c, 0, 47, 90
2, 4675, Note_on_c, 0, 64, 0
2, 4675, Note_on_c, 0, 47, 0
2, 4675, Note_on_c, 0, 48, 90
2, 4680, Note_on_c, 0, 55, 0
2, 4815, Note_on_c, 0, 54, 90
2, 4820, Note_on_c, 0, 48, 0
2, 4820, Note_on_c, 0, 64, 90
2, 4825, Note_on_c, 0, 42, 90
2, 4975, Note_on_c, 0, 42, 0
2, 4975, Note_on_c, 0, 45, 90
2, 5115, Note_on_c, 0, 45, 0
2, 5120, Note_on_c, 0, 48, 90
2, 5250, Note_on_c, 0, 66, 90
2, 5265, Note_on_c, 0, 64, 0
2, 5359, Note_on_c, 0, 66, 0
2, 5390, Note_on_c, 0, 64, 90
2, 5415, Note_on_c, 0, 48, 0
2, 5450, Note_on_c, 0, 64, 0
2, 5455, Note_on_c, 0, 63, 90
2, 5490, Note_on_c, 0, 63, 0
2, 5505, Note_on_c, 0, 64, 90
2, 5525, Note_on_c, 0, 64, 0
2, 5525, Note_on_c, 0, 63, 90
2, 5535, Note_on_c, 0, 48, 90
2, 5555, Note_on_c, 0, 63, 0
2, 5560, Note_on_c, 0, 64, 90
2, 5585, Note_on_c, 0, 64, 0
2, 5585, Note_on_c, 0, 63, 90
2, 5610, Note_on_c, 0, 63, 0
2, 5625, Note_on_c, 0, 64, 90
2, 5640, Note_on_c, 0, 63, 90
2, 5645, Note_on_c, 0, 64, 0
2, 5675, Note_on_c, 0, 48, 0
2, 5680, Note_on_c, 0, 63, 0
2, 5685, Note_on_c, 0, 47, 90
2, 5685, Note_on_c, 0, 64, 90
2, 5695, Note_on_c, 0, 63, 90
2, 5710, Note_on_c, 0, 64, 0
2, 5835, Note_on_c, 0, 45, 90
2, 5840, Note_on_c, 0, 47, 0
2, 5845, Note_on_c, 0, 54, 0
2, 5850, Note_on_c, 0, 63, 0
2, 5985, Note_on_c, 0, 64, 90
2, 5990, Note_on_c, 0, 44, 90
2, 5995, Note_on_c, 0, 45, 0
2, 6120, Note_on_c, 0, 47, 90
2, 6135, Note_on_c, 0, 44, 0
2, 6270, Note_on_c, 0, 47, 0
2, 6270, Note_on_c, 0, 52, 90
2, 6415, Note_on_c, 0, 54, 90
2, 6515, Note_on_c, 0, 54, 0
2, 6565, Note_on_c, 0, 56, 90
2, 6570, Note_on_c, 0, 64, 0
2, 6570, Note_on_c, 0, 59, 90
2, 6590, Note_on_c, 0, 52, 0
2, 6715, Note_on_c, 0, 52, 90
2, 6865, Note_on_c, 0, 56, 0
2, 6865, Note_on_c, 0, 50, 90
2, 6885, Note_on_c, 0, 52, 0
2, 7015, Note_on_c, 0, 59, 0
2, 7015, Note_on_c, 0, 58, 90
2, 7015, Note_on_c, 0, 61, 90
2, 7020, Note_on_c, 0, 50, 0
2, 7020, Note_on_c, 0, 49, 90
2, 7145, Note_on_c, 0, 61, 0
2, 7150, Note_on_c, 0, 58, 0
2, 7180, Note_on_c, 0, 49, 0
2, 7185, Note_on_c, 0, 59, 90
2, 7185, Note_on_c, 0, 47, 90
2, 7190, Note_on_c, 0, 62, 90
2, 7345, Note_on_c, 0, 42, 90
2, 7355, Note_on_c, 0, 47, 0
2, 7495, Note_on_c, 0, 42, 0
2, 7495, Note_on_c, 0, 47, 90
2, 7640, Note_on_c, 0, 59, 0
2, 7640, Note_on_c, 0, 54, 90
2, 7645, Note_on_c, 0, 47, 0
2, 7645, Note_on_c, 0, 45, 90
2, 7710, Note_on_c, 0, 54, 0
2, 7720, Note_on_c, 0, 62, 0
2, 7795, Note_on_c, 0, 43, 90
2, 7795, Note_on_c, 0, 62, 90
2, 7795, Note_on_c, 0, 59, 90
2, 7805, Note_on_c, 0, 45, 0
2, 7940, Note_on_c, 0, 38, 90
2, 7960, Note_on_c, 0, 43, 0
2, 8075, Note_on_c, 0, 40, 90
2, 8105, Note_on_c, 0, 38, 0
2, 8225, Note_on_c, 0, 57, 90
2, 8230, Note_on_c, 0, 40, 0
2, 8230, Note_on_c, 0, 42, 90
2, 8235, Note_on_c, 0, 59, 0
2, 8285, Note_on_c, 0, 57, 0
2, 8375, Note_on_c, 0, 61, 90
2, 8375, Note_on_c, 0, 55, 90
2, 8380, Note_on_c, 0, 40, 90
2, 8385, Note_on_c, 0, 42, 0
2, 8395, Note_on_c, 0, 62, 0
2, 8525, Note_on_c, 0, 43, 90
2, 8540, Note_on_c, 0, 40, 0
2, 8665, Note_on_c, 0, 43, 0
2, 8670, Note_on_c, 0, 47, 90
2, 8805, Note_on_c, 0, 54, 90
2, 8810, Note_on_c, 0, 55, 0
2, 8955, Note_on_c, 0, 52, 90
2, 8970, Note_on_c, 0, 54, 0
2, 9110, Note_on_c, 0, 55, 90
2, 9125, Note_on_c, 0, 52, 0
2, 9255, Note_on_c, 0, 55, 0
2, 9255, Note_on_c, 0, 54, 90
2, 9260, Note_on_c, 0, 45, 90
2, 9265, Note_on_c, 0, 47, 0
2, 9400, Note_on_c, 0, 52, 90
2, 9405, Note_on_c, 0, 54, 0
2, 9460, Note_on_c, 0, 52, 0
2, 9545, Note_on_c, 0, 51, 90
2, 9545, Note_on_c, 0, 59, 90
2, 9565, Note_on_c, 0, 61, 0
2, 9710, Note_on_c, 0, 48, 90
2, 9715, Note_on_c, 0, 45, 0
2, 9845, Note_on_c, 0, 47, 90
2, 9860, Note_on_c, 0, 48, 0
2, 9995, Note_on_c, 0, 45, 90
2, 10010, Note_on_c, 0, 47, 0
2, 10155, Note_on_c, 0, 51, 0
2, 10155, Note_on_c, 0, 45, 0
2, 10155, Note_on_c, 0, 43, 90
2, 10310, Note_on_c, 0, 43, 0
2, 10315, Note_on_c, 0, 45, 90
2, 10315, Note_on_c, 0, 51, 90
2, 10465, Note_on_c, 0, 59, 0
2, 10465, Note_on_c, 0, 51, 0
2, 10465, Note_on_c, 0, 43, 90
2, 10465, Note_on_c, 0, 52, 90
2, 10480, Note_on_c, 0, 45, 0
2, 10605, Note_on_c, 0, 54, 90
2, 10610, Note_on_c, 0, 42, 90
2, 10620, Note_on_c, 0, 52, 0
2, 10625, Note_on_c, 0, 43, 0
2, 10755, Note_on_c, 0, 55, 90
2, 10765, Note_on_c, 0, 40, 90
2, 10795, Note_on_c, 0, 54, 0
2, 10795, Note_on_c, 0, 42, 0
2, 10862, Note_on_c, 0, 55, 0
2, 10885, Note_on_c, 0, 40, 0
2, 10930, Note_on_c, 0, 54, 90
2, 10940, Note_on_c, 0, 63, 90
2, 11070, Note_on_c, 0, 63, 0
